Array_1,Array_2,Array_3,Array_4,Array_5,Array_6,Array_7,Array_8,Array_9,Array_10,Array_11,Array_12,Array_13,Array_14,Array_15,Array_16,Array_17,Array_18,Array_19,Array_20,Array_21,Array_22,OuterLoop_1,OuterLoop_2,OuterLoop_3,OuterLoop_4,OuterLoop_5,OuterLoop_6,OuterLoop_7,OuterLoop_8,OuterLoop_9,OuterLoop_10,OuterLoop_11,OuterLoop_12,OuterLoop_13,OuterLoop_14,OuterLoop_15,OuterLoop_16,OuterLoop_17,OuterLoop_18,OuterLoop_19,OuterLoop_20,OuterLoop_21,OuterLoop_22,OuterLoop_23,OuterLoop_24,OuterLoop_25,OuterLoop_26,InnerLoop_1_1,InnerLoop_1_2,InnerLoop_1_3,InnerLoop_1_4,InnerLoop_1_5,InnerLoop_1_6,InnerLoop_1_7,InnerLoop_1_8,InnerLoop_1_9,InnerLoop_1_10,InnerLoop_1_11,InnerLoop_1_12,InnerLoop_1_13,InnerLoop_1_14,InnerLoop_1_15,InnerLoop_1_16,InnerLoop_2_1,InnerLoop_2_2,InnerLoop_2_3,InnerLoop_2_4,InnerLoop_2_5,InnerLoop_2_6,InnerLoop_2_7,InnerLoop_3_1,InnerLoop_3_2,InnerLoop_3_3,InnerLoop_3_4,InnerLoop_3_5,InnerLoop_4_1,InnerLoop_4_2,DesignLatency_Msec,BRAM_Utilization,DSP_Utilization,FF_Utilization,LUT_Utilization
#pragma HLS array_partition variable=temp_rf cyclic factor=16 dim=2,#pragma HLS array_partition variable=temp_top block factor=4 dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom cyclic factor=8 dim=1,#pragma HLS array_partition variable=temp_center block factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=16 dim=1,#pragma HLS array_partition variable=power_inner cyclic factor=8 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,5137.30219869,37,0,3,12
#pragma HLS array_partition variable=temp_rf complete dim=2,#pragma HLS array_partition variable=temp_top block factor=4 dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right cyclic factor=8 dim=1,#pragma HLS array_partition variable=temp_bottom complete dim=1,#pragma HLS array_partition variable=temp_center cyclic factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner block factor=4 dim=1,#pragma HLS array_partition variable=power_inner block factor=8 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,620.85506013,31,1,10,14
#pragma HLS array_partition variable=temp_rf block factor=4 dim=1,#pragma HLS array_partition variable=temp_top block factor=4 dim=1,#pragma HLS array_partition variable=temp_left block factor=8 dim=1,#pragma HLS array_partition variable=temp_right complete dim=1,#pragma HLS array_partition variable=temp_bottom cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_center block factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner block factor=2 dim=1,#pragma HLS array_partition variable=power_inner cyclic factor=2 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=8,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,9103.49992413,31,0,2,8
#pragma HLS array_partition variable=temp_rf cyclic factor=16 dim=2,#pragma HLS array_partition variable=temp_top complete dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom complete dim=1,#pragma HLS array_partition variable=temp_center block factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=16 dim=1,#pragma HLS array_partition variable=power_inner block factor=4 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,733.6722633300001,36,1,9,12
#pragma HLS array_partition variable=temp_rf complete dim=2,#pragma HLS array_partition variable=temp_top complete dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom complete dim=1,#pragma HLS array_partition variable=temp_center cyclic factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=8 dim=1,#pragma HLS array_partition variable=power_inner cyclic factor=2 dim=1,#pragma HLS array_partition variable=temp_inner block factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,540.56295261,31,3,29,25
#pragma HLS array_partition variable=temp_rf cyclic factor=2 dim=1,#pragma HLS array_partition variable=temp_top block factor=4 dim=1,#pragma HLS array_partition variable=temp_left block factor=8 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom complete dim=1,#pragma HLS array_partition variable=temp_center block factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=16 dim=1,#pragma HLS array_partition variable=power_inner cyclic factor=2 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,#pragma HLS pipeline,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,4792.69994589,33,1,3,9
#pragma HLS array_partition variable=temp_rf complete dim=2,#pragma HLS array_partition variable=temp_top complete dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom complete dim=1,#pragma HLS array_partition variable=temp_center block factor=4 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=8 dim=1,#pragma HLS array_partition variable=power_inner cyclic factor=2 dim=1,#pragma HLS array_partition variable=temp_inner block factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll factor=8,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,3513.63511773,31,0,4,11
#pragma HLS array_partition variable=temp_rf complete dim=2,#pragma HLS array_partition variable=temp_top block factor=4 dim=1,#pragma HLS array_partition variable=temp_left block factor=8 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_center block factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=2 dim=1,#pragma HLS array_partition variable=power_inner block factor=8 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS pipeline II=1,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,#pragma HLS unroll,#pragma HLS unroll factor=4,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,620.85506013,31,1,10,14
#pragma HLS array_partition variable=temp_rf cyclic factor=16 dim=2,#pragma HLS array_partition variable=temp_top block factor=4 dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right block factor=2 dim=1,#pragma HLS array_partition variable=temp_bottom cyclic factor=8 dim=1,#pragma HLS array_partition variable=temp_center block factor=2 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=4 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=16 dim=1,#pragma HLS array_partition variable=power_inner block factor=8 dim=1,#pragma HLS array_partition variable=temp_inner cyclic factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll,#pragma HLS pipeline II=1,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline II=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,5276.97465309,37,0,2,10
#pragma HLS array_partition variable=temp_rf complete dim=2,#pragma HLS array_partition variable=temp_top complete dim=1,#pragma HLS array_partition variable=temp_left cyclic factor=4 dim=1,#pragma HLS array_partition variable=temp_right block factor=4 dim=1,#pragma HLS array_partition variable=temp_bottom complete dim=1,#pragma HLS array_partition variable=temp_center block factor=4 dim=1,#pragma HLS array_partition variable=power_center cyclic factor=8 dim=1,#pragma HLS array_partition variable=result_inner cyclic factor=4 dim=1,#pragma HLS array_partition variable=power_inner cyclic factor=2 dim=1,#pragma HLS array_partition variable=temp_inner block factor=2 dim=1,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS pipeline,#pragma HLS unroll factor=2,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll,#pragma HLS unroll factor=8,#pragma HLS unroll factor=2,#pragma HLS unroll factor=4,#pragma HLS unroll factor=2,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,#pragma HLS unroll factor=4,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,NDIR,15392.59610589,30,0,4,12
